Job Title,Industry,AI Impact,Tasks,AI models,AI_Workload_Ratio,Required Education,Median Salary (USD),Expected Openings (2030),AI Impact Original,Experience Required (Years),Automation Risk (%)
Scribe,General Business,80,202,1623,0.124460875,High School Diploma,35000,930,80%,3,49.89
Typist,General Business,80,208,1364,0.152492669,High School Diploma,35000,935,80%,3,49.34
Dishwasher,General Business,80,3,31,0.096774194,High School Diploma,35000,1037,80%,3,41.12
Digital Project Manager,Information Technology,80,231,1922,0.120187305,Master's Degree,120000,1720,80%,5,51.32
Technical Project Manager,Information Technology,80,205,1521,0.13477975,Master's Degree,120000,1612,80%,5,49.67
Grocer,General Business,80,50,377,0.132625995,High School Diploma,35000,975,80%,3,43.38
Finance Officer,Finance & Banking,80,167,1516,0.110158311,Master's Degree,120000,1238,80%,8,48.86
Word Processor,General Business,80,264,1707,0.154657293,High School Diploma,35000,1046,80%,3,51.38
Market Research Interviewer,General Business,80,210,1825,0.115068493,High School Diploma,35000,928,80%,3,50.62
Pl Sql Developer,Information Technology,80,183,1686,0.108540925,Bachelor's Degree,78000,1854,80%,2,49.68
Quantitative Developer,Information Technology,80,182,1667,0.109178164,Doctorate / PhD,130000,1186,80%,2,49.6
Statistical Programmer,Information Technology,80,187,1669,0.11204314,Bachelor's Degree,60000,1691,80%,3,49.71
Tableau Developer,Information Technology,80,188,1668,0.112709832,Bachelor's Degree,78000,1965,80%,2,49.73
Data Modeler,General Business,80,216,1767,0.122241087,High School Diploma,35000,1080,80%,3,50.57
Database Analyst,Information Technology,80,218,1773,0.122955443,Doctorate / PhD,130000,1143,80%,3,50.63
Database Developer,Information Technology,80,205,1726,0.118771727,Bachelor's Degree,78000,1952,80%,2,50.24
Etl Developer,Information Technology,80,184,1670,0.110179641,Bachelor's Degree,78000,1790,80%,2,49.65
Hadoop Developer,Information Technology,80,181,1643,0.110164334,Bachelor's Degree,78000,1816,80%,2,49.51
Sql Analyst,Finance & Banking,80,212,1761,0.120386144,Doctorate / PhD,130000,879,80%,3,50.48
Procurement Assistant,Administrative & Office Support,80,179,1316,0.136018237,Associate Degree,40500,1013,80%,0,48.59
Receiving Associate,General Business,80,92,733,0.125511596,High School Diploma,35000,965,80%,3,45.17
Warehouse Associate,Logistics & Supply Chain,80,78,664,0.11746988,High School Diploma,31500,1080,80%,3,44.64
Press Operator,Manufacturing & Labor,80,84,1077,0.077994429,Associate Degree,40500,842,80%,2,45.79
Pressman,General Business,80,83,1068,0.077715356,High School Diploma,35000,1028,80%,3,45.74
Printing Press Operator,Manufacturing & Labor,80,93,1065,0.087323944,Associate Degree,40500,829,80%,2,45.97
Automation Test Engineer,Information Technology,80,159,1547,0.102779573,Bachelor's Degree,78000,1839,80%,3,48.78
Automation Tester,General Business,80,158,1541,0.102530824,Certification / Professional,65000,1254,80%,3,48.74
QA Automation Engineer,Information Technology,80,155,1525,0.101639344,Bachelor's Degree,78000,1773,80%,3,48.63
Tax Preparer,Finance & Banking,80,153,1263,0.121140143,High School Diploma,35000,1171,80%,3,47.88
Associate,General Business,79,175,1298,0.134822804,High School Diploma,35000,1093,79%,3,47.95
Chief Learning Officer,Administrative & Office Support,79,162,1250,0.1296,Master's Degree,120000,1017,79%,8,47.54
Web Project Manager,General Business,78,217,1845,0.117615176,Master's Degree,120000,1145,78%,5,49.82
Medical Coding Specialist,Healthcare,78,171,1250,0.1368,Bachelor's Degree,78000,2207,78%,2,47.25
Front Desk,Administrative & Office Support,77,215,1779,0.120854413,High School Diploma,35000,972,77%,3,49.09
Credit Manager,Information Technology,76,151,1094,0.138025594,Master's Degree,120000,1529,76%,5,45.42
Advertising Manager,General Business,75,195,1370,0.142335766,Master's Degree,120000,1143,75%,5,46.57
Caller,General Business,75,131,1085,0.120737327,High School Diploma,35000,992,75%,3,44.43
Phone Sales,Sales & Marketing,75,11,54,0.203703704,High School Diploma,35000,1019,75%,3,39.89
Telesales Representative,Sales & Marketing,75,145,1049,0.138226883,High School Diploma,35000,1102,75%,3,44.68
Accounting Clerk,Finance & Banking,75,145,1299,0.111624326,High School Diploma,31500,1088,75%,0,45.29
Administrative Associate,Administrative & Office Support,75,281,2139,0.131369799,High School Diploma,35000,1016,75%,3,50.42
Administrative Coordinator,Administrative & Office Support,75,281,2128,0.132048872,High School Diploma,35000,985,75%,5,50.38
Corporate Receptionist,Administrative & Office Support,75,15,58,0.25862069,High School Diploma,31500,1042,75%,3,40.51
Desk Receptionist,Administrative & Office Support,75,14,56,0.25,High School Diploma,31500,908,75%,3,40.4
Executive Secretary,Administrative & Office Support,75,159,1176,0.135204082,Master's Degree,120000,1087,75%,8,45.3
Front Desk Clerk,Administrative & Office Support,75,223,1801,0.1238201,High School Diploma,31500,1026,75%,0,48.31
Front Desk Receptionist,Administrative & Office Support,75,225,1803,0.124792013,High School Diploma,31500,1015,75%,3,48.36
Front Office Receptionist,Administrative & Office Support,75,226,1812,0.124724062,High School Diploma,31500,970,75%,3,48.4
Mail Sorter,General Business,75,136,1219,0.111566858,High School Diploma,35000,950,75%,3,44.88
Order Clerk,Administrative & Office Support,75,151,1336,0.113023952,High School Diploma,31500,1056,75%,0,45.52
Medical Coder,Healthcare,75,109,773,0.141009056,Associate Degree,45000,1794,75%,2,43.21
Purchasing Assistant,Administrative & Office Support,75,163,1417,0.115031757,Associate Degree,40500,1104,75%,0,46
Supply Technician,Information Technology,75,121,979,0.123595506,Associate Degree,45000,1698,75%,2,43.94
Android Developer,Information Technology,75,147,1393,0.105527638,Bachelor's Degree,78000,1912,75%,2,45.59
Ios Developer,Information Technology,75,148,1394,0.106169297,Bachelor's Degree,78000,1962,75%,2,45.62
Chief Of Staff,General Business,75,180,1405,0.128113879,Master's Degree,120000,1180,75%,8,46.34
Intelligence Analyst,Finance & Banking,75,169,1185,0.142616034,Doctorate / PhD,130000,881,75%,3,45.55
Photo Retoucher,General Business,75,193,1464,0.131830601,High School Diploma,35000,910,75%,3,46.77
Full Charge Bookkeeper,General Business,75,123,858,0.143356643,High School Diploma,35000,916,75%,3,43.74
Grant Accountant,Finance & Banking,75,128,886,0.144469526,Bachelor's Degree,60000,1453,75%,3,43.92
Epic Analyst,Finance & Banking,75,114,798,0.142857143,Doctorate / PhD,130000,956,75%,3,43.39
It Project Manager,Information Technology,75,221,1840,0.120108696,Master's Degree,120000,1650,75%,5,48.38
Software Project Manager,Information Technology,75,175,1442,0.121359223,Master's Degree,120000,1727,75%,5,46.33
Technology Project Manager,Information Technology,75,175,1443,0.121275121,Master's Degree,120000,1664,75%,5,46.33
Cobol Developer,Information Technology,75,130,929,0.139935414,Bachelor's Degree,78000,1631,75%,2,44.05
Quantitative Analyst,Information Technology,75,8,46,0.173913043,Doctorate / PhD,130000,1151,75%,3,39.52
Quantitative Research Analyst,Information Technology,75,168,1096,0.153284672,Doctorate / PhD,130000,1279,75%,3,45.32
Report Developer,Information Technology,75,146,969,0.150670795,Bachelor's Degree,78000,1832,75%,2,44.53
Sas Developer,Information Technology,75,133,932,0.142703863,Bachelor's Degree,78000,1975,75%,2,44.13
Statistical Analyst,Finance & Banking,75,166,1087,0.152713891,Doctorate / PhD,130000,914,75%,3,45.26
Backend Developer,Information Technology,75,144,1012,0.14229249,Bachelor's Degree,78000,1741,75%,2,44.57
Data Architect,Information Technology,75,162,1081,0.14986124,Bachelor's Degree,78000,1652,75%,3,45.15
Database Designer,Information Technology,75,162,1081,0.14986124,Bachelor's Degree,60000,1683,75%,3,45.15
Database Engineer,Information Technology,75,12,55,0.218181818,Bachelor's Degree,78000,1869,75%,3,40.05
Gis Developer,Information Technology,75,9,48,0.1875,Bachelor's Degree,78000,1845,75%,2,39.67
Informatica Developer,Information Technology,75,131,925,0.141621622,Bachelor's Degree,78000,1621,75%,2,44.07
Ui Developer,Information Technology,75,152,1088,0.139705882,Bachelor's Degree,78000,1665,75%,2,44.93
Ux Developer,Information Technology,75,9,48,0.1875,Bachelor's Degree,78000,1769,75%,2,39.67
Stenographer,General Business,75,8,49,0.163265306,High School Diploma,35000,1057,75%,3,39.42
Allocation Analyst,Finance & Banking,74,155,1102,0.140653358,Doctorate / PhD,130000,1000,74%,3,44.53
Business Operations Manager,General Business,71,163,1330,0.122556391,Master's Degree,120000,1126,71%,5,43.77
Ecommerce,Sales & Marketing,70,161,1513,0.106411104,High School Diploma,35000,1003,70%,3,43.73
Solar Sales,Sales & Marketing,70,128,1153,0.111014744,High School Diploma,35000,998,70%,3,42.03
Developer,Information Technology,70,139,992,0.140120968,Bachelor's Degree,78000,1915,70%,2,41.91
Javascript Developer,Information Technology,70,150,1039,0.144369586,Bachelor's Degree,78000,1948,70%,2,42.27
Perl Developer,Information Technology,70,129,927,0.139158576,Bachelor's Degree,78000,1742,70%,2,41.52
Pega Developer,Information Technology,70,132,932,0.141630901,Bachelor's Degree,78000,1739,70%,2,41.61
Sap Developer,Information Technology,70,131,929,0.141011841,Bachelor's Degree,78000,1721,70%,2,41.58
Clinical Informatics Specialist,Healthcare,70,140,996,0.140562249,Bachelor's Degree,78000,2256,70%,2,41.94
Cloud Engineer,Information Technology,70,152,1013,0.150049358,Bachelor's Degree,78000,1936,70%,3,42.27
Data Scientist,General Business,70,180,1091,0.164986251,Doctorate / PhD,130000,782,70%,6,43.1
Database Programmer,Information Technology,70,160,1022,0.156555773,Bachelor's Degree,60000,1926,70%,3,42.48
Information Assurance,General Business,70,8,46,0.173913043,High School Diploma,35000,937,70%,3,37.02
Oracle Developer,Information Technology,70,8,46,0.173913043,Bachelor's Degree,78000,1948,70%,2,37.02
Sql Database Developer,Information Technology,70,10,49,0.204081633,Bachelor's Degree,78000,1715,70%,2,37.36
Sql Developer,Information Technology,70,10,49,0.204081633,Bachelor's Degree,78000,1705,70%,2,37.36
Sql Server Developer,Information Technology,70,10,49,0.204081633,Bachelor's Degree,78000,1858,70%,2,37.36
Teradata Developer,Information Technology,70,8,46,0.173913043,Bachelor's Degree,78000,1757,70%,2,37.02
Net Developer,Information Technology,70,8,46,0.173913043,Bachelor's Degree,78000,1940,70%,2,37.02
Sports Analyst,Finance & Banking,70,9,50,0.18,Doctorate / PhD,130000,1025,70%,3,37.11
Chief Of Police,Public Safety & Government,70,122,1047,0.1165234,Master's Degree,120000,997,70%,8,41.62
Emergency Dispatcher,Public Safety & Government,70,156,1015,0.153694581,High School Diploma,35000,893,70%,3,42.37
Investigative Analyst,Finance & Banking,70,194,1175,0.165106383,Doctorate / PhD,130000,935,70%,3,43.6
Police Dispatcher,Public Safety & Government,70,164,1039,0.157844081,High School Diploma,35000,884,70%,3,42.61
Polygraph Examiner,General Business,70,101,770,0.131168831,High School Diploma,35000,1081,70%,3,40.49
Public Safety Dispatcher,Public Safety & Government,70,164,1039,0.157844081,High School Diploma,35000,930,70%,3,42.61
Regulatory Analyst,Finance & Banking,70,183,1105,0.16561086,Doctorate / PhD,130000,913,70%,3,43.2
Security Consultant,Information Technology,70,151,986,0.153144016,Master's Degree,80000,1544,70%,3,42.19
Embedded Systems Engineer,Information Technology,70,119,853,0.13950762,Bachelor's Degree,78000,1734,70%,3,41.12
Implementation Analyst,Finance & Banking,70,178,1156,0.153979239,Doctorate / PhD,130000,898,70%,3,43.19
Medical Billing Specialist,Healthcare,70,124,827,0.149939541,Bachelor's Degree,78000,1977,70%,2,41.21
Medical Collector,Healthcare,70,10,52,0.192307692,Associate Degree,45000,2091,70%,3,37.25
Postal Clerk,Administrative & Office Support,70,10,52,0.192307692,High School Diploma,31500,943,70%,0,37.25
Distribution Clerk,Administrative & Office Support,70,10,52,0.192307692,High School Diploma,31500,903,70%,0,37.25
Purchasing Buyer,Logistics & Supply Chain,70,164,1427,0.114926419,High School Diploma,35000,1091,70%,3,43.55
Qa Software Tester,Information Technology,70,127,918,0.138344227,Certification / Professional,65000,1871,70%,3,41.46
Application Developer,Information Technology,70,151,1045,0.144497608,Bachelor's Degree,78000,1863,70%,2,42.31
Entry Level Developer,Information Technology,70,151,1033,0.146176186,Bachelor's Degree,78000,1780,70%,0,42.29
Front End Developer,Information Technology,70,159,1104,0.144021739,Bachelor's Degree,78000,1643,70%,2,42.63
Front End Engineer,Information Technology,70,158,1093,0.144556267,Bachelor's Degree,78000,1867,70%,3,42.58
Front End Web Developer,Information Technology,70,159,1055,0.1507109,Bachelor's Degree,78000,1912,70%,2,42.52
Full Stack Developer,Information Technology,70,154,1044,0.147509579,Bachelor's Degree,78000,1742,70%,2,42.38
J2Ee Developer,Information Technology,70,141,983,0.143438454,Bachelor's Degree,78000,1967,70%,2,41.94
Robotics Engineer,Information Technology,70,111,804,0.138059701,Bachelor's Degree,78000,1802,70%,3,40.82
Appointment Scheduler,General Business,70,165,1212,0.136138614,High School Diploma,35000,1073,70%,3,43.02
Desk Clerk,Administrative & Office Support,70,120,765,0.156862745,High School Diploma,31500,1080,70%,0,41
Document Processor,General Business,70,178,1448,0.122928177,High School Diploma,35000,907,70%,3,43.91
Mailroom Clerk,Administrative & Office Support,70,135,1205,0.112033195,High School Diploma,31500,916,70%,0,42.32
Office Cleaner,Administrative & Office Support,70,64,386,0.165803109,High School Diploma,31500,920,70%,3,38.94
Receiving Clerk,Administrative & Office Support,70,149,1307,0.11400153,High School Diploma,31500,1012,70%,0,42.9
Radiologic Technologist,Information Technology,70,75,549,0.136612022,Bachelor's Degree,60000,1770,70%,3,39.39
Radiology Technologist,Information Technology,70,75,549,0.136612022,Bachelor's Degree,60000,1937,70%,3,39.39
Ultrasound Technician,Information Technology,70,76,566,0.134275618,Associate Degree,45000,1602,70%,2,39.44
Ultrasound Technologist,Information Technology,70,76,566,0.134275618,Bachelor's Degree,60000,1765,70%,3,39.44
Electrical Technician,Information Technology,70,6,45,0.133333333,Associate Degree,45000,1642,70%,2,36.58
Flooring Installer,General Business,70,1,2,0.5,High School Diploma,35000,1000,70%,3,40.02
Technical Marketing Engineer,Information Technology,70,244,1576,0.154822335,Bachelor's Degree,78000,1724,70%,3,45.63
Web Content Editor,Information Technology,70,234,1986,0.117824773,High School Diploma,35000,1623,70%,3,46.56
Engineering Project Manager,Information Technology,70,176,1446,0.121715076,Master's Degree,120000,1785,70%,3,43.86
Infrastructure Project Manager,General Business,70,176,1448,0.121546961,Master's Degree,120000,1195,70%,5,43.86
Sap Project Manager,General Business,70,10,52,0.192307692,Master's Degree,120000,1012,70%,5,37.25
Software Product Manager,Information Technology,70,181,1472,0.122961957,Master's Degree,120000,1735,70%,5,44.04
Technical Product Manager,Information Technology,70,183,1474,0.124151967,Master's Degree,120000,1674,70%,5,44.08
Cashier,General Business,70,97,703,0.137980085,High School Diploma,35000,1047,70%,3,40.26
Mystery Shopper,General Business,70,99,671,0.147540984,High School Diploma,35000,951,70%,3,40.27
Infrastructure Architect,Information Technology,70,148,1304,0.113496933,Bachelor's Degree,78000,1964,70%,3,42.87
Actuary,Finance & Banking,70,131,1251,0.104716227,Doctorate / PhD,100000,1043,70%,6,42.35
Arabic Linguist,General Business,70,113,859,0.131548312,High School Diploma,35000,923,70%,3,40.98
Game Programmer,Information Technology,70,152,1318,0.115326252,Bachelor's Degree,60000,1628,70%,3,43
Mortgage Loan Processor,Finance & Banking,70,146,1322,0.110438729,High School Diploma,35000,1123,70%,3,42.88
Computational Linguist,General Business,70,139,912,0.152412281,High School Diploma,35000,955,70%,3,41.75
Bank Teller,Finance & Banking,70,113,824,0.137135922,High School Diploma,35000,1265,70%,3,40.91
Credit Analyst,Information Technology,70,169,1398,0.120886981,Doctorate / PhD,130000,1117,70%,3,43.58
Credit Officer,Information Technology,70,174,1452,0.119834711,Master's Degree,120000,1514,70%,8,43.83
Credit Risk Analyst,Information Technology,70,171,1119,0.152815013,Doctorate / PhD,130000,1113,70%,3,42.94
Credit Specialist,Information Technology,70,170,1394,0.12195122,Bachelor's Degree,78000,1760,70%,2,43.59
Financial Analyst,Finance & Banking,70,172,1125,0.152888889,Doctorate / PhD,130000,936,70%,3,42.98
Financial Specialist,Finance & Banking,70,174,1127,0.154392192,Bachelor's Degree,78000,1488,70%,2,43.03
Fund Accountant,Finance & Banking,70,130,874,0.148741419,Bachelor's Degree,60000,1499,70%,3,41.45
Payment Processor,General Business,70,149,1316,0.113221884,High School Diploma,35000,946,70%,3,42.93
Payroll Processor,General Business,70,145,1302,0.111367127,High School Diploma,35000,914,70%,3,42.8
Tax Examiner,Finance & Banking,70,134,896,0.149553571,High School Diploma,35000,1105,70%,3,41.59
Clinical Trial Assistant,Healthcare,70,136,886,0.153498871,Doctorate / PhD,90000,1479,70%,0,41.62
Cad Drafter,Architecture & Engineering,68,125,948,0.13185654,High School Diploma,35000,1084,68%,3,40.47
Business Manager,General Business,68,164,1072,0.152985075,Master's Degree,120000,1131,68%,5,41.68
Inpatient Coder,General Business,68,117,752,0.155585106,Associate Degree,45000,1175,68%,2,39.9
Assistant Branch Manager,Administrative & Office Support,67,130,861,0.150987224,Master's Degree,120000,1117,67%,0,39.92
Front Desk Attendant,Administrative & Office Support,67,126,886,0.14221219,High School Diploma,35000,994,67%,3,39.87
Front Office Clerk,Administrative & Office Support,67,129,926,0.139308855,High School Diploma,31500,980,67%,0,40.02
Administrative Officer,Administrative & Office Support,65,133,865,0.153757225,Master's Degree,120000,1150,65%,8,39.01
Administrative Specialist,Administrative & Office Support,65,134,866,0.154734411,Bachelor's Degree,78000,1241,65%,2,39.04
Branch Office Administrator,Administrative & Office Support,65,130,828,0.157004831,Bachelor's Degree,60000,1263,65%,3,38.87
Help Desk,General Business,65,133,1047,0.127029608,High School Diploma,35000,975,65%,3,39.38
Order Processor,General Business,65,129,927,0.139158576,High School Diploma,35000,926,65%,3,39.02
Title Clerk,Information Technology,65,107,704,0.151988636,High School Diploma,31500,1425,65%,0,38.05
Warranty Clerk,Administrative & Office Support,65,116,816,0.142156863,High School Diploma,31500,1007,65%,0,38.47
Crm Analyst,Finance & Banking,65,164,1081,0.151711378,Doctorate / PhD,130000,1004,65%,3,40.2
Sales Operations Analyst,Finance & Banking,65,157,1053,0.149097816,Doctorate / PhD,130000,1031,65%,3,39.97
Freelance,General Business,65,182,1206,0.150912106,High School Diploma,35000,1024,65%,3,40.89
Technology,Information Technology,65,160,1099,0.145586897,High School Diploma,35000,1392,65%,3,40.14
Analog Design Engineer,Information Technology,65,134,913,0.146768894,Bachelor's Degree,78000,1876,65%,3,39.12
Automation Engineer,Information Technology,65,141,937,0.150480256,Bachelor's Degree,78000,1907,65%,3,39.35
Medical Claims Processor,Healthcare,65,140,836,0.167464115,Associate Degree,45000,2116,65%,3,39.14
Logistics Clerk,Administrative & Office Support,65,124,1005,0.123383085,High School Diploma,31500,927,65%,0,39.07
Shipping,Logistics & Supply Chain,65,107,711,0.150492264,High School Diploma,35000,1118,65%,3,38.06
Executive Producer,Media & Entertainment,65,182,1302,0.139784946,Master's Degree,120000,939,65%,8,41.12
.Net Developer,Information Technology,65,248,1734,0.143021915,Bachelor's Degree,78000,1976,65%,2,43.63
Abap Developer,Information Technology,65,242,1696,0.142688679,Bachelor's Degree,78000,1671,65%,2,43.4
Asp.Net Developer,Information Technology,65,245,1752,0.139840183,Bachelor's Degree,78000,1730,65%,2,43.62
Associate Software Engineer,Information Technology,65,245,1753,0.139760411,Bachelor's Degree,78000,1808,65%,3,43.62
C Developer,Information Technology,65,242,1743,0.138841079,Bachelor's Degree,78000,1752,65%,2,43.53
C# Developer,Information Technology,65,248,1731,0.143269786,Bachelor's Degree,78000,1790,65%,2,43.62
Dot Net Developer,Information Technology,65,249,1735,0.14351585,Bachelor's Degree,78000,1802,65%,2,43.65
Firmware Engineer,Information Technology,65,238,1635,0.145565749,Bachelor's Degree,78000,1967,65%,3,43.16
Bookkeeper,General Business,65,141,911,0.154774973,High School Diploma,35000,943,65%,3,39.3
Bookkeeping,General Business,65,139,914,0.152078775,High School Diploma,35000,1069,65%,3,39.25
Commercial Analyst,Finance & Banking,65,157,1039,0.151106833,Doctorate / PhD,130000,908,65%,3,39.94
Commission Analyst,Finance & Banking,65,159,1061,0.149858624,Doctorate / PhD,130000,926,65%,3,40.04
Corporate Financial Analyst,Finance & Banking,65,162,1056,0.153409091,Doctorate / PhD,130000,1028,65%,3,40.1
Cost Accountant,Finance & Banking,65,158,1067,0.148078725,Bachelor's Degree,60000,1448,65%,3,40.03
Derivatives Analyst,Finance & Banking,65,161,1059,0.152030217,Doctorate / PhD,130000,961,65%,3,40.08
Energy Analyst,Finance & Banking,65,164,1066,0.153846154,Doctorate / PhD,130000,940,65%,3,40.17
Environmental Analyst,Finance & Banking,65,164,1067,0.153701968,Doctorate / PhD,130000,1029,65%,3,40.17
Equity Analyst,Information Technology,65,162,1066,0.151969981,Doctorate / PhD,130000,1290,65%,3,40.12
Equity Research Analyst,Information Technology,65,162,1066,0.151969981,Doctorate / PhD,130000,1222,65%,3,40.12
Equity Research Associate,Information Technology,65,163,1067,0.152764761,High School Diploma,35000,1587,65%,3,40.14
Finance Analyst,Finance & Banking,65,168,1242,0.1352657,Doctorate / PhD,130000,1007,65%,3,40.66
Finance Specialist,Finance & Banking,65,160,1218,0.13136289,Bachelor's Degree,78000,1316,65%,2,40.42
Financial Auditor,Information Technology,65,154,983,0.156663276,Bachelor's Degree,60000,1906,65%,3,39.76
Forensic Accountant,Finance & Banking,65,157,996,0.157630522,Bachelor's Degree,60000,1368,65%,3,39.86
Certified Professional Coder,General Business,65,129,798,0.161654135,Associate Degree,45000,1047,65%,2,38.79
Junior Java Developer,Information Technology,65,247,1714,0.144107351,Bachelor's Degree,78000,1793,65%,0,43.55
Junior Software Engineer,Information Technology,65,243,1716,0.141608392,Bachelor's Degree,78000,1725,65%,0,43.48
Operations Research Analyst,Finance & Banking,65,174,1119,0.155495979,Doctorate / PhD,130000,1009,65%,3,40.51
Rpg Programmer,Information Technology,65,217,1279,0.1696638,Bachelor's Degree,60000,1936,65%,3,41.84
Clinical Data Analyst,Finance & Banking,65,220,1369,0.160701242,Doctorate / PhD,130000,874,65%,3,42.11
Database Administrator,Information Technology,65,241,1372,0.175655977,Bachelor's Degree,60000,1677,65%,3,42.57
Healthcare Data Analyst,Finance & Banking,65,230,1609,0.142945929,Doctorate / PhD,130000,874,65%,3,42.93
Mainframe Programmer,Information Technology,65,226,1354,0.166912851,Bachelor's Degree,60000,1689,65%,3,42.21
Oracle Database Developer,Information Technology,65,242,1424,0.16994382,Bachelor's Degree,78000,1689,65%,2,42.72
Sql Data Analyst,Finance & Banking,65,250,1459,0.17135024,Doctorate / PhD,130000,983,65%,3,42.97
